Name,Function,Description
str_to_map,"str_to_map(expr[,pairDelim[,keyValueDelim]])",Returns a map after splitting expr into key-value pairs using delimiters.
string,string(expr),Casts the value expr to STRING.
string_agg,"string_agg(expr[,delim]) [WITHIN GROUP (ORDER BY key [,...])]","Returns a concatenated STRING or BINARY of all values in expr within the group, separated by delim."
struct,"struct(expr1 [, …])",Creates a STRUCT with the specified field values.
substr,"substr(expr, pos[, len])",Returns the substring of expr that starts at pos and is of length len.
substring,"substring(expr, pos[, len])",Returns the substring of expr that starts at pos and is of length len.
substring_index,"substring_index(expr, delim, count)",Returns the substring of expr before count occurrences of the delimiter delim.
sum,sum(expr),Returns the sum calculated from values of a group.
table_changes,"table_changes(table_str, start [, end])",Returns a log of changes to a Delta Lake table with Change Data Feed enabled.
tan,tan(expr),Returns the tangent of expr.
tanh,tanh(expr),Returns the hyperbolic tangent of expr.
timediff,"timediff(unit, start, stop)",Returns the difference between two timestamps measured in units.
timestamp,timestamp(expr),Casts expr to TIMESTAMP.
timestamp_micros,timestamp_micros(expr),Creates a timestamp expr microseconds since UTC epoch.
timestamp_millis,timestamp_millis(expr),Creates a timestamp expr milliseconds since UTC epoch.
timestamp_seconds,timestamp_seconds(expr),Creates timestamp expr seconds since UTC epoch.
timestampadd,"timestampadd(unit, value, expr)",Adds value units to a timestamp expr.
timestampdiff,"timestampdiff(unit, start, stop)",Returns the difference between two timestamps measured in units.
tinyint,tinyint(expr),Casts expr to TINYINT.
to_avro,"to_avro(expr[, options])",Returns an Avro binary value with the specified struct value.
to_binary,"to_binary(expr[, fmt])",Returns expr cast to a Binary based on fmt.
to_char,"to_char(numExpr, fmt)",Returns numExpr cast to STRING using formatting fmt.”
to_csv,"to_csv(expr[, options])",Returns a CSV string with the specified struct value.
to_date,"to_date(expr[,fmt])",Returns expr cast to a date using an optional formatting.
to_json,"to_json(expr[, options])",Returns a JSON string with the STRUCT or VARIANT specified in expr.
to_number,"to_number(expr, fmt )",Returns expr cast to DECIMAL using formatting fmt.
to_timestamp,"to_timestamp(expr[,fmt])",Returns expr cast to a timestamp using an optional formatting.
to_unix_timestamp,"to_unix_timestamp(expr[,fmt])",Returns the timestamp in expr as a UNIX timestamp.
to_utc_timestamp,"to_utc_timestamp(expr,timezone)",Returns the timestamp at UTC for a timestamp expr at timezone.
to_varchar,"to_varchar(numExpr, fmt)",Returns numExpr cast to STRING using formatting fmt.”
transform,"transform(expr, func)",Transforms elements in an array in expr using the function func.
transform_keys,"transform_keys(expr, func)",Transforms keys in a map in expr using the function func.
transform_values,"transform_values(expr, func)",Transforms values in a map in expr using the function func.
translate,"translate(expr, from, to)",Returns an expr where all characters in from have been replaced with those in to.
trim,trim([[BOTH | LEADING | TRAILING] [trimStr] FROM] str),Trim characters from a string.
trunc,"trunc(expr, fmt)",Returns a date with the a portion of the date truncated to the unit specified by the format model fmt.
try_add,"try_add(expr1, expr2)","Returns the sum of expr1 and expr2, or NULL in case of error."
try_aes_decrypt,"try_aes_decrypt(expr, key[, mode[, padding[, aad]]])","Decrypts a binary expr using AES encryption, and return NULL in case of error."
try_avg,try_avg(expr),"Returns the mean calculated from values of a group, NULL if there is an overflow."
try_cast,try_cast(expr AS type),Casts the value expr to the target data type type safely.
try_divide,"try_divide(dividend, divisor)","Returns dividend divided by divisor, or NULL if divisor is 0."
try_element_at,"try_element_at(arrayExpr, index)","Returns the element of an arrayExpr at index, or NULL if index is out of bound."
try_mod,"try_mod(dividend, divisor)","Returns the remainder after dividend / divisor, or NULL if divisor is 0.."
try_multiply,"try_multiply(multiplier, multiplicand)","Returns multiplier multiplied by multiplicand, or NULL on overflow."
try_parse_json,try_parse_json(jsonStr),"Returns a VARIANT value from the jsonStr if possible. If not possible, NULL is returned."
try_reflect,"try_reflect(class, method[, arg1 [, …]])","Calls a method with reflection, returning NULL if the method fails."
try_secret,"try_secret(scope, key)","Extracts a secret value with the given scope and key from Databricks secret service, or NULL if the key cannot be retrieved."
try_subtract,"try_subtract(expr1, expr2)","Returns the subtraction of expr2 from expr1, or NULL on overflow."
try_sum,try_sum(expr),"Returns the sum calculated from values of a group, NULL if there is an overflow."
try_to_binary,"try_to_binary(expr [, fmt])","Returns expr cast to BINARY based on fmt, or NULL if the input is invalid."
try_to_number,"try_to_number(expr, fmt )","Returns expr cast to DECIMAL using formatting fmt, or NULL if expr does not match the format."
try_to_timestamp,"try_to_timestamp(expr[,fmt])","Returns expr cast to a timestamp using an optional formatting, or NULL if the cast fails."
try_url_decode,try_url_decode(str),"Translates a string back from application/x-www-form-urlencoded format, and returns NULL in case of error."
try_variant_get,"try_variant_get(variantExpr,path,type)","Extracts a value of type type from variantExpr, specified by path, or NULL if it is not possible to cast to the target type."
try_zstd_decompress,try_zstd_decompress(value),"Returns value decompressed with Zstandard compression, or NULL if the input is invalid."
typeof,typeof(expr),Return a DDL-formatted type string for the data type of expr.
ucase,ucase(expr),Returns expr with all characters changed to uppercase.
unbase64,unbase64(expr),Returns a decoded base64 string as binary.
unhex,unhex(expr),Converts hexadecimal expr to BINARY.
uniform,"uniform(expr1, expr2 [,seed])",Returns a random value with independent and identically distributed values within the specified range of numbers.
unix_date,unix_date(expr),Returns the number of days since 1970-01-01.
unix_micros,unix_micros(expr),Returns the number of microseconds since 1970-01-01 00:00:00 UTC.
unix_millis,unix_millis(expr),Returns the number of milliseconds since 1970-01-01 00:00:00 UTC.
unix_seconds,unix_seconds(expr),Returns the number of seconds since 1970-01-01 00:00:00 UTC.
unix_timestamp,"unix_timestamp([expr[, fmt]])",eturns the UNIX timestamp of current or specified time.
upper,upper(expr),Returns expr with all characters changed to uppercase.
url_decode,url_decode(str),Translates a string back from application/x-www-form-urlencoded format.
url_encode,url_encode(str),Translates a string into application/x-www-form-urlencoded format.
user,user(),Returns the user executing the statement.
uuid,uuid(),Returns an universally unique identifier (UUID) string.
var_pop,var_pop(expr),Returns the population variance calculated from values of a group.
var_samp,var_samp(expr),Returns the sample variance calculated from values of a group.
variance,variance(expr),Returns the sample variance calculated from values of a group.
variant_explode,variant_explode(input),Returns a set of rows by un-nesting input.
variant_explode_outer,variant_explode_outer(input),Returns a set of rows by un-nesting input using outer semantics.
variant_get,"variant_get(variantExpr,path,type)","Extracts a value of type type from variantExpr, specified by path."
vector_search,"vector_search(index, query, num_results)",Query a Mosaic AI Vector Search index using SQL.
version,version(),Returns the Apache Spark version.
weekday,weekday(expr),Returns the day of the week of expr.
weekofyear,weekofyear(expr),Returns the week of the year of expr.
width_bucket,"width_bucket(expr, minExpr, maxExpr, numBuckets)",Returns the bucket number for a value in an equi-width histogram.
window,"window(expr, width[, step[, start]])",Creates a hopping based sliding-window over a timestamp expression.
window_time,window_time(window),Returns the inclusive end time of a sliding-window produced by the window or session_window functions.
xpath,"xpath(xml, xpath)",Returns values within the nodes of xml that match xpath.
xpath_boolean,"xpath_boolean(xml, xpath)","Returns true if the xpath expression evaluates to true, or if a matching node in xml is found."
xpath_double,"xpath_double(xml, xpath)",Returns a DOUBLE value from an XML document.
xpath_float,"xpath_float(xml, xpath)",Returns a FLOAT value from an XML document.
xpath_int,"xpath_int(xml, xpath)",Returns a INTEGER value from an XML document.
xpath_long,"xpath_long(xml, xpath)",Returns a BIGINT value from an XML document.
xpath_number,"xpath_number(xml, xpath)",Returns a DOUBLE value from an XML document.
xpath_short,"xpath_short(xml, xpath)",Returns a SHORT value from an XML document.
xpath_string,"xpath_string(xml, xpath)",Returns the contents of the first XML node that matches the XPath expression.
xxhash64,"xxhash64(expr1 [, …])",Returns a 64-bit hashed value of the arguments.
year,year(expr),Returns the year component of expr.
zip_with,"zip_with(expr1, expr2, func)","Merges the arrays in expr1 and expr2, element-wise, into a single array using func."
zstd_compress ,"zstd_compress (value[,level[,streaming_mode]])",Returns value compressed with Zstandard compression.
zstd_decompress,zstd_decompress(value),Returns value decompressed with Zstandard compression.
